Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
9589.0,15.0,1996.0,2.0,457.0,2.26,1.89,1.36,0.23,5.74,89.0,8.0,86.0,102.0,967.0,7.0
2059.0,18.0,2014.0,8.0,21.0,2.49,2.07,0.16,0.92,5.64,76.0,95.0,58.0,5380.0,254.0,7.0
5080.0,26.0,2007.0,0.0,290.0,3.57,1.55,0.0,0.51,5.64,80.0,17.0,86.0,62.0,1496.0,2.0
1605.0,4.0,2006.0,9.0,6.0,3.07,1.91,0.07,0.57,5.63,67.0,35.0,69.0,21.0,1421.0,1.0
9646.0,11.0,1988.0,5.0,361.0,2.97,0.69,1.81,0.11,5.58,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9351.0,10.0,1999.0,2.0,361.0,2.95,0.6,1.97,0.04,5.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
490.0,17.0,2009.0,0.0,527.0,2.54,1.93,0.21,0.86,5.55,91.0,70.0,83.0,1202.0,1532.0,5.0
487.0,28.0,2007.0,1.0,527.0,3.28,1.64,0.07,0.56,5.54,81.0,77.0,74.0,1074.0,1532.0,5.0
3262.0,28.0,2009.0,6.0,325.0,2.99,1.9,0.1,0.5,5.49,92.0,90.0,77.0,516.0,1513.0,1.0
9262.0,6.0,2001.0,4.0,361.0,3.14,1.24,0.91,0.2,5.49,84.0,19.0,75.0,41.0,1008.0,1.0
6017.0,19.0,2008.0,7.0,85.0,0.47,0.55,4.13,0.34,5.48,81.0,48.0,84.0,124.0,264.0,7.0
673.0,17.0,2011.0,0.0,550.0,2.71,1.85,0.11,0.81,5.48,96.0,42.0,83.0,2162.0,1215.0,7.0
3681.0,30.0,2014.0,0.0,496.0,2.81,2.19,0.0,0.47,5.48,97.0,14.0,76.0,764.0,1208.0,5.0
5536.0,6.0,2001.0,6.0,361.0,2.62,1.64,0.99,0.23,5.47,93.0,24.0,80.0,108.0,724.0,1.0
9279.0,6.0,2001.0,4.0,361.0,3.21,1.11,0.95,0.2,5.46,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7299.0,10.0,1999.0,11.0,361.0,3.18,1.24,0.94,0.09,5.45,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1656.0,16.0,2001.0,4.0,530.0,2.07,2.29,0.24,0.82,5.42,66.0,22.0,68.0,156.0,1496.0,1.0
1238.0,17.0,2008.0,8.0,21.0,2.73,1.83,0.0,0.83,5.39,85.0,45.0,73.0,409.0,1499.0,5.0
10553.0,18.0,2016.0,8.0,457.0,1.85,2.5,0.19,0.85,5.38,93.0,113.0,76.0,7064.0,977.0,7.0
2375.0,5.0,1989.0,5.0,361.0,2.18,0.96,2.0,0.2,5.34,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3161.0,17.0,2009.0,7.0,466.0,1.74,1.21,1.87,0.51,5.33,83.0,83.0,70.0,2483.0,1351.0,7.0
7288.0,5.0,1999.0,3.0,361.0,3.02,1.12,1.01,0.16,5.31,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3130.0,15.0,2000.0,7.0,468.0,1.62,0.77,2.78,0.14,5.3,94.0,22.0,86.0,779.0,1356.0,7.0
